F0_01-0_1,F0_1-0_2,F0_2-0_5,F0_5-1,F1-2,F2-4,F4-8,F8-16,F16-25,F25-35,F35-50,F50-63,F63-75,F75-88,F88-105,F105-125,F125-150,F150-177,F177-210,F210-250,F250-300,F300-354,F354-420,F420-500,F500-600,F600-707,F707-850,F850-1000,F1000-1190,F1190-1410,F1410-1680,F1680-2000,Kf,lithoclass
0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.44,0.27,0.17,0.55,0.99,1.11,1.56,3.37,6.72,12.02,14.8,16.71,15.34,12.02,7.08,3.96,1.22,0.03,0.14,0.82,0.28,0.0,0.0,0.0,0.0,1.5,zm
0.0,0.0,0.0,0.0,0.0,0.13,0.5,0.71,0.45,0.26,1.1,2.9,4.17,5.68,8.64,10.95,13.21,12.21,11.44,9.55,7.42,4.58,2.69,0.85,0.22,0.53,1.07,0.65,0.09,0.0,0.0,0.0,1.2,zm
0.0,0.0,0.0,0.0,1.180484,3.310811,6.148684,11.384298,13.802153,13.963776,16.434416,10.216399,6.592015,5.082698,4.545588,3.044961,1.517793,0.420923,0.45911,0.653565,0.616042,0.527417,0.098867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,kz
0.0,0.0,0.0,0.0,0.834981,2.636471,5.214237,9.331809,10.686697,11.913968,16.799845,11.734024,7.938548,6.250918,5.639346,3.820871,2.01807,0.816537,0.978048,1.226522,1.059082,0.76496,0.302733,0.032331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-05,kz
0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.4,0.18,0.29,0.91,0.35,2.9,7.66,17.96,23.61,22.91,13.13,5.44,1.18,0.81,1.2,0.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,zf
0.0,0.0,0.0,0.0,0.13,0.39,0.53,0.67,0.43,0.59,1.2,1.05,3.5,9.17,17.83,22.56,20.89,11.61,4.79,1.23,1.02,1.35,0.99,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,zf
0.0,0.0,0.25,0.64,1.16,1.98,2.73,2.96,1.83,1.71,3.15,4.26,6.43,9.89,15.34,16.68,14.4,7.58,3.49,1.64,1.57,1.47,0.79,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,kz
0.0,0.0,0.03,0.86,0.68,1.35,2.17,2.66,1.76,1.68,3.24,4.67,6.86,10.04,14.88,15.71,13.25,7.39,4.11,2.79,2.7,2.06,1.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,kz
0.0,0.0,0.343566,1.679248,2.158697,4.293405,6.36141,7.969974,5.66871,3.816793,3.029269,1.66511,1.376992,1.697824,2.728763,3.599857,4.552422,4.770644,5.756276,6.527511,6.935891,5.805081,4.933314,3.627163,2.544122,1.907889,2.209189,2.164859,1.68042,0.195602,0.0,0.0,8.6e-05,kz
0.0,0.0,0.0,0.0,0.11,0.17,0.4,0.5,0.39,0.51,1.54,2.27,4.3,7.68,15.08,19.65,20.37,13.41,7.11,2.42,0.94,0.92,0.71,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.87,0.91,zf
