,F0_01-0_1,F0_1-0_2,F0_2-0_5,F0_5-1,F1-2,F2-4,F4-8,F8-16,F16-25,F25-35,F35-50,F50-63,F63-75,F75-88,F88-105,F105-125,F125-150,F150-177,F177-210,F210-250,F250-300,F300-354,F354-420,F420-500,F500-600,F600-707,F707-850,F850-1000,F1000-1190,F1190-1410,F1410-1680,F1680-2000,Kf,logK,porosity,litho_measured,soil_class,litho_main,K_Barr,K_AlyamaniSen,K_Shepherd,K_VanBaaren,K_Bear_KozenyCarman
0,0.0,0.0,0.0,0.0,1.180484,3.310811,6.148684,11.384298,13.802153,13.963776,16.434416,10.216399,6.592015,5.082698,4.545588,3.044961,1.517793,0.420923,0.45911,0.653565,0.616042,0.527417,0.098867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,-4.6020599913279625,,L,lz3,L,2.0082578598854526e-05,2.1917952641992333e-06,0.0006585925789370956,8.532074215205883e-05,2.723805642542649e-05
1,0.0,0.0,0.0,0.0,0.834981,2.636471,5.214237,9.331809,10.686697,11.913968,16.799845,11.734024,7.938548,6.250918,5.639346,3.820871,2.01807,0.816537,0.978048,1.226522,1.059082,0.76496,0.302733,0.032331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-05,-4.136677139879544,,L,lz3,L,2.7701342598259137e-05,2.1460249355738396e-06,0.0009080020077518177,8.339316225469475e-05,3.757140693050692e-05
2,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.4,0.18,0.29,0.91,0.35,2.9,7.66,17.96,23.61,22.91,13.13,5.44,1.18,0.81,1.2,0.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.041392685158225,,Z,zs1,Z,0.007859351318099882,0.00830546812768998,0.005058187147112847,0.003045598712847536,0.010659659745181578
3,0.0,0.0,0.0,0.0,0.13,0.39,0.53,0.67,0.43,0.59,1.2,1.05,3.5,9.17,17.83,22.56,20.89,11.61,4.79,1.23,1.02,1.35,0.99,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,-0.0268721464003013,,Z,zs1,Z,0.006603823744207682,0.006936321327123166,0.004819053912979931,0.002954338201639743,0.008956784253719286
4,0.0,0.0,0.25,0.64,1.16,1.98,2.73,2.96,1.83,1.71,3.15,4.26,6.43,9.89,15.34,16.68,14.4,7.58,3.49,1.64,1.57,1.47,0.79,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,-2.508638306165728,,Z,zs3,Z,9.275344647613029e-05,6.106111261175354e-06,0.0038315987544072522,0.000644057009988879,0.00012580175381032572
5,0.0,0.0,0.03,0.86,0.68,1.35,2.17,2.66,1.76,1.68,3.24,4.67,6.86,10.04,14.88,15.71,13.25,7.39,4.11,2.79,2.7,2.06,1.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,-1.7958800173440752,,Z,zs3,Z,0.0003937150681570702,0.0001628464810519246,0.003936580184956942,0.0011997655795717732,0.0005339968266134207
6,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.44,0.27,0.17,0.55,0.99,1.11,1.56,3.37,6.72,12.02,14.8,16.71,15.34,12.02,7.08,3.96,1.22,0.03,0.14,0.82,0.28,0.0,0.0,0.0,0.0,1.5,0.1760912590556812,,Z,zs1,Z,0.011682077620795199,0.012044676409370559,0.010779258539811242,0.0074185005283011985,0.015844433912464866
7,0.0,0.0,0.0,0.0,0.0,0.13,0.5,0.71,0.45,0.26,1.1,2.9,4.17,5.68,8.64,10.95,13.21,12.21,11.44,9.55,7.42,4.58,2.69,0.85,0.22,0.53,1.07,0.65,0.09,0.0,0.0,0.0,1.2,0.0791812460476248,,Z,zs1,Z,0.004835463598137068,0.004834444347221917,0.007427118247911354,0.0031836251104978897,0.006558352538287372
8,0.0,0.0,0.0,0.0,0.11,0.17,0.4,0.5,0.39,0.51,1.54,2.27,4.3,7.68,15.08,19.65,20.37,13.41,7.11,2.42,0.94,0.92,0.71,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.87,0.91,-0.0409586076789063,,Z,zs1,Z,0.0058606937537977605,0.006102699117511825,0.0051405781949782695,0.003952181510133812,0.007948875009865183
9,0.0,0.0,0.0,0.0,0.11,0.11,0.38,0.47,0.33,0.49,1.27,1.47,3.96,8.12,16.81,21.37,20.78,12.38,5.7,1.62,0.81,0.95,0.68,0.06,0.0,0.15,0.53,0.26,0.02,0.01,0.52,0.64,1.1,0.041392685158225,,Z,zs1,Z,0.006518142128594956,0.006842453528731943,0.004999816872913758,0.0029020174526017736,0.008840574043501843
10,0.0,0.0,0.574847,2.471593,3.021215,6.287715,10.406882,14.767054,12.678399,10.465468,10.851298,7.232909,5.455707,4.822524,4.662763,3.06338,1.282527,0.171486,0.320293,0.565072,0.420553,0.278927,0.172884,0.026505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,-3.823908740944319,,K,ks4,L,1.7744917282382536e-06,4.899710025032506e-06,0.00037068383994798135,1.8608580967960027e-06,2.4067479971403183e-06
11,0.0,0.0,0.24,1.39,1.47,3.2,5.58,7.81,6.47,6.36,10.05,9.58,8.9,9.0,9.76,7.73,4.81,1.84,0.85,0.87,1.03,0.76,0.36,0.02,0.11,0.56,0.79,0.37,0.08,0.0,0.0,0.0,0.009,-2.0457574905606752,,K,ks4,L,7.199537196099878e-06,4.887779471804944e-05,0.0015826550290507309,3.3832301693569965e-05,9.764752042126234e-06
12,0.0,0.0,0.0,0.071263,0.746281,1.201771,1.852086,2.089222,1.564058,1.912573,3.886476,6.822804,10.023404,13.122712,16.556734,14.443934,9.93427,4.51773,1.871296,0.615593,0.725941,1.20108,0.749129,0.050383,0.0,0.0,0.0,0.0,0.0,0.687722,2.703681,2.649856,0.018,-1.744727494896694,,Z,zs3,Z,0.0010167413834168315,0.0008579356229303425,0.0033675322932182183,0.0013139129195637014,0.0013790091265049734
13,0.0,0.0,0.02,1.09,0.63,1.21,1.83,2.23,1.52,1.57,2.8,5.24,8.75,13.39,18.69,18.0,13.27,5.4,1.59,0.58,0.98,1.04,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,-0.9208187539523752,,Z,zs3,Z,0.0008180371987526227,0.0006176638095430157,0.0034822557320720216,0.0012075639877504696,0.0011095060959449043
14,0.0,0.0,0.0,0.0,0.37,1.07,1.74,2.16,1.45,1.33,2.26,2.66,5.06,8.87,16.36,19.53,18.08,10.33,4.64,1.45,0.96,1.03,0.62,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,-1.4685210829577449,,Z,zs2,Z,0.001801357134509955,0.0016000602171483001,0.004418492723882804,0.002059023865442808,0.0024431856213387518
15,0.0,0.0,0.0,0.0,0.13,0.47,0.83,1.12,0.8,0.71,1.59,2.26,3.2,5.14,9.27,12.95,15.77,13.76,11.71,8.7,6.07,3.45,1.92,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.2365720064370627,,Z,zs1,Z,0.004473084969385227,0.004444186631634507,0.0066537345152228485,0.0032755711372334313,0.006066857410372163
16,0.0,0.0,0.0,0.0,0.1,0.37,0.6,0.71,0.45,0.38,0.85,0.81,1.68,3.96,8.57,12.34,13.94,10.72,8.5,7.36,7.68,6.9,5.96,3.81,2.04,1.06,0.94,0.26,0.0,0.0,0.0,0.0,0.61,-0.2146701649892329,,Z,zs1,Z,0.007158981641642463,0.007671856283614004,0.008244558479316669,0.0033747652313792288,0.009709746432401464
17,0.0,0.0,0.0,0.0,0.13,0.61,0.94,0.9,0.5,0.38,1.03,2.02,2.6,3.39,5.41,8.01,11.95,13.37,14.28,12.64,9.75,5.86,3.49,1.2,0.04,0.04,0.72,0.61,0.11,0.0,0.0,0.0,0.11,-0.958607314841775,,Z,zs1,Z,0.0050874505789026345,0.004819210733038797,0.009242675088388278,0.006012960451289743,0.006900123171315387
18,0.0,0.0,0.0,0.0,0.12,0.57,1.0,1.16,0.59,0.36,0.88,1.54,1.96,2.8,5.13,8.29,12.58,13.8,14.41,12.64,9.83,5.97,3.48,1.13,0.03,0.35,1.03,0.35,0.0,0.0,0.0,0.0,0.6400000000000001,-0.1938200260161127,,Z,zs1,Z,0.00602292167085483,0.00587376408368213,0.009334562153392402,0.006334762300327291,0.00816890517864201
19,0.0,0.0,0.343566,1.679248,2.158697,4.293405,6.36141,7.969974,5.66871,3.816793,3.029269,1.66511,1.376992,1.697824,2.728763,3.599857,4.552422,4.770644,5.756276,6.527511,6.935891,5.805081,4.933314,3.627163,2.544122,1.907889,2.209189,2.164859,1.68042,0.195602,0.0,0.0,8.6e-05,-4.0655015487564325,,K,kz2,K,2.6672296998520032e-06,0.001073806932519978,0.006778865218885678,1.0112647598762758e-06,3.6175709561662603e-06
20,0.0,0.0,0.322519,2.279739,1.85064,4.931384,9.508311,17.791629,19.029793,15.63724,14.047176,6.529981,3.216933,2.013433,1.626095,0.949602,0.255988,0.009538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1e-05,-4.1487416512809245,,L,lz1,L,5.614438556171563e-06,6.348215454957768e-08,0.00030075760623865744,1.5243005194802494e-05,7.614878410027175e-06
21,0.0,0.0,0.0,0.0,0.0,0.508992,0.487602,0.66516,0.477132,0.949558,1.701035,4.060749,8.227401,13.879881,20.146651,19.932194,15.340833,7.433833,3.210215,0.720057,0.378344,1.080599,0.759146,0.040618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,-0.2839966563652008,,Z,zs2,Z,0.0044665900841312925,0.004664932593570373,0.003941554979131019,0.0019875119222407364,0.0060580483796915385
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613713,0.388973,0.668592,1.195212,1.584933,4.594339,10.545945,18.962667,22.605789,19.992792,10.862188,4.53444,0.94205,0.692676,1.322201,0.464953,0.028537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,-0.0604807473813814,,Z,zs1,Z,0.006503400789153643,0.0068368205915818004,0.0046330035308636145,0.002982236038451967,0.008820580324392896
23,0.0,0.0,0.359937,2.316079,2.026594,5.310012,9.547599,16.337241,16.525547,14.224025,14.050932,7.601706,4.385476,3.016858,2.430315,1.395741,0.466402,0.005538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6e-06,-5.180456064458132,,L,lz1,L,4.415949598863793e-06,2.1359756136225505e-07,0.0003367849598493058,1.2593944768089379e-05,5.989364550653479e-06
24,0.0,0.0,0.0,0.0,0.0,0.31884,0.777857,0.899602,0.761209,0.9845,1.835854,2.510908,2.573071,2.714448,3.86176,5.962826,9.777253,11.544227,12.426722,11.120158,9.630599,7.10578,5.144201,2.794279,1.53597,1.612623,1.996953,1.654926,0.455438,0.0,0.0,0.0,0.13,-0.8860566476931632,,Z,zs2,Z,0.0036092895407057453,0.0030338395056634386,0.010734895440809092,0.004925578765036936,0.004895289301696157
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180231,0.172729,0.552669,1.270874,1.832645,2.775303,5.188406,8.512573,13.091167,14.401535,14.767121,12.436833,9.373495,5.757605,3.52906,1.445203,0.50934,1.15276,1.702231,1.123774,0.224446,0.0,0.0,0.0,0.96,-0.0177287669604316,,Z,zs1,Z,0.009263992016254477,0.009510129934498303,0.009853053959540321,0.007104645571302022,0.012564777775989019
26,0.0,0.0,0.0,0.0,0.0,0.318591,0.762292,0.674364,0.433782,0.360485,0.495447,0.697744,0.854866,1.272142,2.654077,5.00734,8.680361,10.627045,12.206331,11.741185,10.286576,7.384705,5.647658,3.848704,2.873352,2.711175,3.273473,3.095449,2.752688,1.263733,0.076434,0.0,0.94,-0.0268721464003013,,Z,zs1,Z,0.010555456170068124,0.01075651627455105,0.014191613201426008,0.006284557859782152,0.014316394149346484
27,0.0,0.0,0.117084,1.075401,1.052325,3.16233,5.813436,8.477344,5.822137,3.306315,2.619145,1.490824,1.235779,1.694168,3.006823,4.273217,5.7631,6.203464,7.236305,7.752871,7.808986,6.224924,5.045905,3.656057,2.786311,2.055847,1.60885,0.654721,0.056331,0.0,0.0,0.0,0.00036,-3.4436974992327127,,K,kz3,K,5.8125949387059165e-06,0.0010386612156962746,0.007569083390279511,1.0342279135431913e-06,7.883638455056299e-06
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029409,0.158714,0.265515,0.395905,0.538631,0.850033,1.326269,2.204099,3.172958,4.901033,7.08903,10.080015,11.736315,16.195432,15.934916,15.346327,9.085726,0.689674,0.0,25.0,1.3979400086720375,,Z,zs1,Z,0.11865318567873037,0.11562188484025823,0.10673114122374748,0.10236105532381781,0.1609296411148221
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125487,0.123896,0.125214,0.238783,0.544281,0.935315,1.493899,1.907071,2.706308,3.821425,5.582453,6.751493,8.467958,9.630933,10.667293,10.189124,12.153773,10.645056,9.093222,4.505394,0.291622,0.0,3.9,0.5910646070264992,,Z,zs1,Z,0.03791543681093659,0.03443425892121709,0.06506637964753442,0.08227392563985074,0.05142481092093868
